model,learning_rate,n_estimators,subsample,max_depth,colsample_bytree,fit_time_seconds,accuracy,f1,precision,recall,roc_auc,predict_time_seconds,num_leaves
LightGBM,0.05,100,0.8,,0.8,0.04385560000082478,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9930555555555556,0.0023438999996869825,63.0
LightGBM,0.05,100,0.8,,1.0,0.04345589999866206,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9907407407407407,0.0019545000031939708,63.0
XGBoost,0.05,100,1.0,3.0,0.8,0.041267500004323665,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9930555555555555,0.0011169999997946434,
XGBoost,0.05,100,1.0,3.0,1.0,0.04389490000176011,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9927248677248677,0.0010833999986061826,
XGBoost,0.05,100,1.0,6.0,0.8,0.06916640000417829,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9947089947089948,0.0011488000018289313,
XGBoost,0.05,100,1.0,6.0,1.0,0.07314210000185994,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9920634920634921,0.0011262999978498556,
LightGBM,0.05,100,1.0,,0.8,0.03152309999859426,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9914021164021164,0.0022685999938403256,15.0
LightGBM,0.05,100,1.0,,1.0,0.031466499996895436,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9900793650793651,0.0018681000001379289,15.0
LightGBM,0.05,100,1.0,,0.8,0.041144599999825004,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9930555555555556,0.001899099996080622,31.0
LightGBM,0.05,100,1.0,,1.0,0.04054530000576051,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9907407407407407,0.001890599996841047,31.0
LightGBM,0.05,100,1.0,,0.8,0.042298699998355005,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9930555555555556,0.0019097999975201674,63.0
LightGBM,0.05,100,1.0,,1.0,0.04571349999605445,0.956140350877193,0.9655172413793104,0.958904109589041,0.9722222222222222,0.9907407407407407,0.0018989999953191727,63.0
XGBoost,0.05,300,0.8,3.0,0.8,0.11828269999386976,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9940476190476191,0.0013020000042160973,
XGBoost,0.05,300,0.8,3.0,1.0,0.1373849000010523,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9947089947089947,0.0014123000000836328,
XGBoost,0.05,300,0.8,6.0,0.8,0.142145799996797,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9950396825396826,0.0013805999988107942,
XGBoost,0.05,300,0.8,6.0,1.0,0.12777530000312254,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9947089947089947,0.0013143000032869168,
LightGBM,0.05,300,0.8,,0.8,0.07975599999917904,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9887566137566137,0.00244389999716077,15.0
LightGBM,0.05,300,0.8,,1.0,0.08206559999962337,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.002039600003627129,15.0
LightGBM,0.05,300,0.8,,0.8,0.12299170000187587,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.002836100000422448,31.0
LightGBM,0.05,300,0.8,,1.0,0.11536150000029011,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9897486772486772,0.0021370999966165982,31.0
LightGBM,0.05,300,0.8,,0.8,0.12146959999518003,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0026518000013311394,63.0
LightGBM,0.05,300,0.8,,1.0,0.12001600000075996,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9897486772486772,0.0021409000037238,63.0
XGBoost,0.05,300,1.0,3.0,0.8,0.09889990000374382,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9943783068783069,0.0013554999968619086,
XGBoost,0.05,300,1.0,3.0,1.0,0.10390979999647243,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9943783068783069,0.001295199996093288,
XGBoost,0.05,300,1.0,6.0,0.8,0.1225888999979361,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9947089947089947,0.0013542000015149824,
XGBoost,0.05,300,1.0,6.0,1.0,0.13050099999964004,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9927248677248677,0.0012925000046379864,
LightGBM,0.05,300,1.0,,0.8,0.08388669999840204,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9887566137566137,0.0025173999965772964,15.0
LightGBM,0.05,300,1.0,,1.0,0.08023920000414364,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0020406999974511564,15.0
LightGBM,0.05,300,1.0,,0.8,0.12172830000054091,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0025869000019156374,31.0
LightGBM,0.05,300,1.0,,1.0,0.11604980000265641,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9897486772486772,0.0020645999975386076,31.0
LightGBM,0.05,300,1.0,,0.8,0.14665439999953378,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9897486772486772,0.0028271000046515837,63.0
LightGBM,0.05,300,1.0,,1.0,0.12195490000158316,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9897486772486772,0.0021047000045655295,63.0
XGBoost,0.05,600,0.8,3.0,0.8,0.16101469999557594,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9940476190476191,0.0014864000040688552,
XGBoost,0.05,600,0.8,3.0,1.0,0.16757469999720342,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9947089947089947,0.0014338999972096644,
XGBoost,0.05,600,0.8,6.0,0.8,0.1814174999963143,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9950396825396826,0.0014694999990751967,
XGBoost,0.05,600,0.8,6.0,1.0,0.19377089999761665,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9943783068783069,0.0014386999973794445,
LightGBM,0.05,600,0.8,,0.8,0.10883949999697506,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9884259259259259,0.002667599997948855,15.0
LightGBM,0.05,600,0.8,,1.0,0.10506770000210963,0.9649122807017544,0.9726027397260274,0.9594594594594594,0.9861111111111112,0.9884259259259259,0.002219899994088337,15.0
LightGBM,0.05,600,0.8,,0.8,0.1477113000000827,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.0025954000011552125,31.0
LightGBM,0.05,600,0.8,,1.0,0.14040579999709735,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.002530300000216812,31.0
LightGBM,0.05,600,0.8,,0.8,0.14799710000079358,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.0025840000016614795,63.0
LightGBM,0.05,600,0.8,,1.0,0.15075630000501405,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9894179894179894,0.002434500005620066,63.0
XGBoost,0.05,600,1.0,3.0,0.8,0.1667133000009926,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9927248677248677,0.0014592000006814487,
XGBoost,0.05,600,1.0,3.0,1.0,0.19269489999715006,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9914021164021164,0.0017312999989371747,
XGBoost,0.05,600,1.0,6.0,0.8,0.22957100000348873,0.956140350877193,0.9659863945578231,0.9466666666666667,0.9861111111111112,0.9937169312169312,0.0015549000017927028,
XGBoost,0.05,600,1.0,6.0,1.0,0.19810299999517156,0.9473684210526315,0.958904109589041,0.9459459459459459,0.9722222222222222,0.9920634920634921,0.0015364999999292195,
